MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2501", Thicko=0.205"			Time:	150.17505	Sec	11/9/2011 3:15:09 PM
Time	Axial Displacement	Axial Strain	Axial Force
Sec	in	in/in	lbf
4.4914551	0.012518853	0.00062618533	631.28772
4.5214844	0.012626563	0.0006156381	634.8559
4.5515137	0.012691331	0.00061934034	634.36896
4.581543	0.012784023	0.00064382993	637.45752
4.6115723	0.012932565	0.00061817921	640.90186
4.6416016	0.012979029	0.00063338561	641.84564
4.6716309	0.013092606	0.00063544267	643.32196
4.7016602	0.013151507	0.00064096309	645.70618
4.7316895	0.01322261	0.00064005179	649.38116
4.7617188	0.013404475	0.00063765992	649.4469
4.791748	0.013419493	0.00066850812	653.42078
4.8217773	0.013493177	0.00064189488	655.99371
4.8518066	0.013605582	0.00065597391	659.94434
4.8818359	0.013732065	0.00064056937	661.0401
4.9118652	0.013807627	0.00066410389	662.52405
4.9418945	0.013873568	0.00066182192	667.56049
4.9719238	0.014023753	0.00065541372	668.42871
5.0019531	0.014052147	0.00065885007	671.66943
5.0319824	0.014178396	0.00066724757	673.25134
5.0620117	0.014357445	0.00064117706	677.22144
5.092041	0.014337264	0.00069251016	678.7959
5.1220703	0.014416111	0.00064454868	682.08905
5.1520996	0.014586007	0.00065638439	684.22113
5.1821289	0.014662508	0.00067968934	686.68225
5.2121582	0.01473807	0.00068607193	690.29907
5.2421875	0.014758485	0.00067806325	687.44604
5.2722168	0.014901396	0.00069700612	696.90991
5.3022461	0.014999016	0.00067047204	696.85107
5.3322754	0.01505557	0.00069993956	700.20862
5.3623047	0.015228517	0.00067372632	700.90857
5.392334	0.015269819	0.00071622978	703.46198
5.4223633	0.015420238	0.00070595334	704.29443
5.4523926	0.015449101	0.00069663848	707.23877
5.4824219	0.015508237	0.00071322953	709.51874
5.5124512	0.015652321	0.0007241295	715.63446
5.5424805	0.015729994	0.00069624174	717.08582
5.5725098	0.015794761	0.00072931161	718.49835
5.6025391	0.015965598	0.00071948289	722.27893
5.6325684	0.015854366	0.00072374393	721.97571
5.6625977	0.01612376	0.00072740891	727.86414
5.692627	0.016068615	0.00072483893	728.21783
